"null","References","Value","Footprint","Quantity"
1,"C3, C4, C7, C9, C11, C14","C1608X7R1H104K080AA","C1608X7R1H104K080AA",6
2,"C1, C5, C6","GRM188R61A226ME15D","CAPC1608X100N",3
3,"C2, C8, C10","GRM188R61E106KA73D","CAPC1608X100N",3
4,"C12, C13","GCM1885C2A470JA16D","CAPC1608X90N",2
5,"C15","GRM188R61E475KE11D","CAPC1608X95N",1
6,"C16","C1608X7R1H103K080AA","CAPC1608X95",1
7,"R1, R2, R3, R4, R7, R8, R9, R10, R11, R12, R13, R16","ERJ-3EKF1001V","ERJ-3EKF1001V",12
8,"R14, R15","ERJ-3EKF27R0V","RES_ERJ3EKF27R0V",2
9,"R5","ERJ-3EKF1002V","ERJ-3EKF1002V",1
10,"R6","ERJ-3EKF3162V","ERJ-3EKF3162V",1
11,"R17","ERJ-3GEY0R00V","ERJ-3GEY0R00V",1
12,"L1","NRS8030T3R3MJGJ","NRS8030T3R3MJGJ",1
13,"L2","MI0805K601R-10","FB_MI0805K601R-10",1
14,"D5, D6, D7, D8","ESD5Z2.5T5G","ESD5Z2.5T5G",4
15,"D3, D4","CLX6E-FKC-CH1M1D1BB7C3D3","CLX6E-FKC-CH1M1D1BB7C3D3",2
16,"D1","LW_Q38G-Q1OO-3K6L-1","LW Q38G-Q1OO-3K6L-1",1
17,"D2","LB_Q39E-N1OO-35-1_1","LB Q39E-N1OO-35-1",1
18,"U1","ESP32-WROOM-32E-N16","ESP32-WROOM-32E-N16",1
19,"U2","AP62301WU-7","AP62301WU-7",1
20,"U3","FT234XD-T","FT234XD-T",1
21,"F1","0ZCJ0110FF2E","0ZCJ0110FF2E",1
22,"SW1, SW2","TL3300DF260Q","SW_TL3300DF260Q",2
23,"Q1, Q2, Q3, Q4, Q5, Q6, Q7","DMN67D8L","DMN67D8L-7",7
24,"TP1, TP2, TP3","TestPoint Pad","TestPoint_Pad_1.0x1.0mm",3
25,"Je1","10118194-0001LF","AMPHENOL_10118194-0001LF",1
26,"LS1","SMT-0827-S-HT-R","XDCR_SMT-0827-S-HT-R",1
27,"J1, J2, J4, J5","PRPC003SAAN-RC","PRPC003SAAN-RC",4
28,"J3","PPPC031LFBN-RC","PPPC031LFBN-RC",1
29,"J6","PJ-037A","CUI_PJ-037A",1
30,"J8","PPTC041LFBN-RC","SULLINS_PPTC041LFBN-RC",1
